id,name,type,start_date,end_date,days_left,condition,cost_maintenance,status
PM-0001,License phần mềm kế toán MISA,Phần mềm,2026-01-09,2026-07-30,267,Tốt,917173.95,2
GT-0002,Hợp đồng thuê văn phòng,Giấy tờ,2023-02-02,2024-07-21,-481,Hỏng,779972.6,0
PM-0003,License AutoCAD 2024,Phần mềm,2021-10-31,2024-06-17,-503,Hỏng,1668543.06,0
PM-0004,Giấy phép Zoom Pro,Phần mềm,2025-04-25,2026-04-30,192,Tốt,3609993.86,2
PC-0005,Máy chủ Dell PowerEdge,Phần cứng,2024-09-17,2025-04-11,-219,Hỏng,909124.84,0
GT-0006,Biên bản kiểm tra tài sản,Giấy tờ,2025-01-04,2025-06-24,-145,Hỏng,,0
GT-0007,Biên bản thanh lý hợp đồng,Giấy tờ,2024-05-17,2026-07-26,280,Tốt,1456145.7,2
PM-0008,Giấy phép Zoom Pro,Phần mềm,2025-10-22,2026-02-19,111,Tốt,1831809.22,2
PC-0009,Switch Cisco SG350,Phần cứng,2024-11-20,2026-11-04,350,Tốt,998368.91,2
PM-0010,Bản quyền phần mềm diệt virus Kaspersky,Phần mềm,2025-11-22,2026-07-01,239,Tốt,2333814.47,2
GT-0011,Biên bản kiểm tra tài sản,Giấy tờ,2024-06-10,2025-12-28,39,Tốt,852620.62,2
PM-0012,License AutoCAD 2024,Phần mềm,2024-06-03,2025-04-13,-220,Hỏng,4711008.78,0
PC-0013,Bộ lưu điện APC 1000VA,Phần cứng,2025-03-03,2026-05-07,180,Tốt,79831.26,2
GT-0014,Router Mikrotik RB750Gr3,Giấy tờ,2022-12-11,2024-06-21,-538,Hỏng,2200762.47,0
PM-0015,License phần mềm kế toán MISA,Phần mềm,2025-03-26,2025-09-09,-118,Hỏng,,0
PM-0016,Bản quyền phần mềm diệt virus Kaspersky,Phần mềm,2025-12-14,2027-03-31,496,Tốt,1293899.91,2
PC-0017,Máy chiếu Epson EB-X51,Phần cứng,2025-03-23,2025-10-08,-50,Hỏng,2733551.4,0
PC-0018,Ổ cứng WD 1TB,Phần cứng,2023-06-27,2026-02-22,107,Tốt,4211423.87,2
PC-0019,Máy tính bàn HP EliteDesk,Phần cứng,2024-11-09,2026-12-12,381,Tốt,2989499.89,2
PM-0020,Domain công ty .vn,Phần mềm,2026-05-17,2027-01-02,395,Tốt,4805860.12,2
GT-0021,Biên bản kiểm tra tài sản,Giấy tờ,2023-01-23,2025-02-22,-241,Hỏng,2698460.66,0
PC-0022,Switch Cisco SG350,Phần cứng,2025-03-12,2026-04-24,160,Tốt,3035171.24,2
GT-0023,Phiếu đăng ký nội bộ,Giấy tờ,2025-01-27,2027-06-15,581,Tốt,4010984.9,2
PC-0024,Giấy phép kinh doanh,Phần cứng,2024-06-07,2025-08-24,-101,Hỏng,3861223.85,0
PM-0025,License AutoCAD 2024,Phần mềm,2024-03-23,2025-11-04,-16,Hỏng,3556709.76,0
PM-0026,Domain công ty .vn,Phần mềm,2023-11-08,2025-04-04,-220,Hỏng,370223.26,0
PM-0027,Bản quyền phần mềm diệt virus Kaspersky,Phần mềm,2024-08-15,2027-02-06,434,Tốt,4315517.13,2
PC-0028,Router Mikrotik RB750Gr3,Phần cứng,2025-10-29,2027-02-26,477,Tốt,1854091.26,2
PC-0029,Ổ cứng WD 1TB,Phần cứng,2025-08-17,2026-06-04,195,Tốt,3648030.89,2
PC-0030,Router Mikrotik RB750Gr3,Phần cứng,2025-10-27,2026-11-07,356,Tốt,1914634.37,2
PM-0031,Phần mềm quản lý nhân sự,Phần mềm,2025-04-08,2025-12-24,33,Tốt,59395663.2966301,2
PC-0032,Thiết bị NAS Synology DS220+,Phần cứng,2024-10-15,2026-04-27,194,Tốt,1280341.61,2
PM-0033,Gói Cloud AWS Business,Phần mềm,2023-09-14,2024-09-19,-394,Hỏng,,0
PC-0034,Bộ lưu điện APC 1000VA,Phần cứng,2026-04-03,2026-08-02,247,Tốt,3182052.06,2
GT-0035,Giấy ủy quyền đại diện,Giấy tờ,2024-08-01,2025-07-19,-104,Hỏng,1246461.15,0
GT-0036,Hồ sơ nhân sự,Giấy tờ,2025-03-04,2027-06-29,576,Tốt,1015306.12,2
